issue_no,date,comment
1531,2012-11-16,
1532,2012-11-23,
1533,2012-11-30,
1534,2012-12-03,
1535,2013-01-11,
1536,2013-01-18,
1537,2013-01-25,
1538,2013-02-01,
1539,2013-02-08,
1540,2013-02-15,
1541,2013-02-22,
1542,2013-03-01,
1543,2013-03-08,
1544,2013-03-15,
1545,2013-05-03,
1546,2013-05-10,
1547,2013-05-17,
1548,2013-05-24,
1549,2013-05-31,
1550,2013-06-07,
1551,2013-06-14,
1552,2013-06-21,
1553,2013-09-28,
1554,2013-10-04,
1555,2013-10-11,
1556,2013-10-18,
1557,2013-10-25,
1558,2013-11-01,
1559,2013-11-08,
1560,2013-11-15,
1561,2013-11-22,
1562,2013-11-29,
1563,2013-12-06,
1564,2014-01-17,
1565,2014-01-24,
1566,2014-01-31,
1567,2014-02-07,
1568,2014-02-14,
1569,2014-02-21,
1570,2014-02-28,
1571,2014-03-07,
1572,2014-03-14,
1573,2014-03-21,
1574,2014-05-02,
1575,2014-05-09,
1576,2014-05-16,
1578,2014-05-30,
1579,2014-06-06,
1580,2014-06-13,
1581,2014-06-20,
1582,2014-10-06,
1583,2014-10-13,
1584,2014-10-17,
1585,2014-10-24,
1586,2014-10-31,
1587,2014-11-07,
1588,2014-11-14,
1589,2014-11-21,
1590,2014-11-28,
1591,2014-12-05,
1592,2014-12-12,
1593,2015-01-16,
1594,2015-01-23,
1595,2015-01-30,
1596,2015-02-06,
1597,2015-02-13,
1598,2015-02-20,
1599,2015-02-27,
1600,2015-03-06,
1601,2015-03-13,
1602,2015-03-20,
1603,2015-05-01,
1604,2015-05-08,
1605,2015-05-15,
1606,2015-05-22,
1607,2015-05-29,
1608,2015-06-05,
1609,2015-06-12,
1610,2015-06-19,
1611,2015-10-03,
1612,2015-10-09,
1613,2015-10-16,
1614,2015-10-23,
1615,2015-10-30,
1616,2015-11-06,
1617,2015-11-13,
1618,2015-11-20,
1619,2015-11-27,
1620,2015-12-04,
1621,2015-12-11,
1623,2016-01-22,
1624,2016-01-29,
1625,2016-02-05,
1626,2016-02-12,
1627,2016-02-19,
1628,2016-02-26,
1629,2016-03-04,
1630,2016-03-11,
1631,2016-03-18,
1632,2016-04-29,
1633,2016-05-06,
1634,2016-05-13,
1635,2016-05-20,
1636,2016-05-27,
1637,2016-06-03,
1638,2016-06-10,
1639,2016-06-17,
1643,2016-10-21,
1644,2016-10-28,
1645,2016-11-04,
1646,2016-11-11,
1647,2016-11-18,
1648,2016-11-25,
1649,2016-12-02,
1650,2016-12-09,
1651,2016-12-16,
1652,2017-01-13,
1653,2017-01-20,
1654,2017-01-27,
1655,2017-02-03,
1656,2017-02-10,
1657,2017-02-17,
1658,2017-02-24,
1659,2017-03-03,
1660,2017-03-10,
1661,2017-03-17,
1662,2017-05-05,
1663,2017-05-12,
1664,2017-05-19,
1665,2017-05-26,
1666,2017-06-02,
1667,2017-06-09,
1668,2017-06-16,
1669,2017-09-29,
1670,2017-10-06,
1671,2017-10-13,
1672,2017-10-20,
1673,2017-10-27,
1674,2017-11-03,
1675,2017-11-10,
1676,2017-11-17,
1677,2017-11-24,
1678,2017-12-01,
1679,2017-12-08,
1680,2018-01-12,
1681,2018-01-19,
1682,2018-01-26,
1683,2018-02-02,
1684,2018-02-09,
1685,2018-02-16,
1686,2018-02-23,
1687,2018-03-02,
1688,2018-03-09,
1689,2018-03-16,
1690,2018-04-27,
1691,2018-05-04,
1692,2018-05-11,
1693,2018-05-18,
1694,2018-05-25,
1695,2018-06-01,
1696,2018-06-08,
1697,2018-06-15,
1698,2018-09-28,
1699,2018-10-05,
1700,2018-10-12,
1701,2018-10-19,
1702,2018-10-26,
1703,2018-11-02,
1704,2018-11-09,
1705,2018-11-16,
1706,2018-11-23,
1707,2018-11-30,
1708,2018-12-07,
1709,2019-01-11,
1710,2019-01-18,
1711,2019-01-25,
1712,2019-02-01,
1713,2019-02-08,
1714,2019-02-15,
1715,2019-02-22,
1716,2019-03-01,
1717,2019-03-08,
1718,2019-03-15,
1719,2019-05-03,
1720,2019-05-10,
1721,2019-05-17,
1722,2019-05-24,
1723,2019-05-31,
1724,2019-06-07,
1725,2019-06-14,
1726,2019-06-21,
1727,2019-09-27,
1728,2019-10-04,
1729,2019-10-11,
1730,2019-10-18,
1731,2019-10-25,
1732,2019-11-01,
1733,2019-11-08,
1734,2019-11-15,
1735,2019-11-22,
1736,2019-11-29,
1737,2019-12-09,
1738,2020-01-10,
1739,2020-01-17,
1740,2020-01-24,
1741,2020-01-31,
1742,2020-02-07,
1743,2020-02-14,
1744,2020-02-21,
1745,2020-02-28,
1746,2020-03-06,
1747,2020-03-13,
1749,2020-09-25,
1750,2020-10-09,
1751,2020-10-16,
1752,2020-10-23,
