issue_no,date,comment
313,1972-10-10,
314,1972-10-19,
315,1972-10-24,
316,1972-10-31,
317,1972-11-07,
318,1972-11-14,
319,1972-11-21,
320,1972-11-28,
321,1972-12-05,
322,1972-12-12,
323,1973-01-08,
324,1973-01-16,
325,1973-01-23,
326,1973-01-30,
327,1973-02-06,
328,1973-02-13,
329,1973-02-20,
330,1973-02-27,
331,1973-03-06,
332,1973-03-13,
333,1973-03-20,
334,1973-05-03,
335,1973-05-15,
336,1973-05-22,
337,1973-05-30,
338,1973-06-22,
339,1973-06-22,
340,1973-10-02,
341,1973-10-09,
342,1973-10-16,
343,1973-10-23,
344,1973-10-30,
345,1973-11-06,
346,1973-11-13,
347,1973-11-20,
348,1973-11-27,
349,1973-12-04,
350,1973-12-11,
351,1974-01-08,
352,1974-01-22,
353,1974-02-05,
354,1974-02-19,
355,1974-03-05,
356,1974-03-19,
357,1974-04-30,
358,1974-05-14,
359,1974-06-04,
360,1974-06-18,
361,1974-09-13,
362,1974-09-30,
363,1974-10-03,
364,1974-10-11,
365,1974-10-18,
366,1974-10-25,
367,1974-11-01,
368,1974-11-08,
369,1974-11-15,
370,1974-11-22,
371,1974-12-09,
372,1974-12-12,
373,1975-01-10,
374,1975-01-17,
375,1975-01-24,
376,1975-01-31,
377,1975-02-07,
378,1975-02-14,
379,1975-02-21,
380,1975-02-21,
381,1975-03-07,
382,1975-03-14,
383,1975-03-13,
384,1975-04-18,
385,1975-04-25,
386,1975-04-30,
387,1975-05-02,
388,1975-05-09,
389,1975-05-14,
390,1975-05-16,
391,1975-05-23,
392,1975-05-30,
393,1975-06-13,
394,1975-09-13,
395,1975-09-30,
396,1975-10-03,
397,1975-10-10,
398,1975-10-17,
399,1975-10-28,
400,1975-11-07,
401,1975-11-14,
402,1975-11-21,
403,1975-11-28,
404,1975-12-05,
405,1975-12-12,
406,1976-01-12,
407,1976-01-16,
408,1976-01-23,
409,1976-01-30,
410,1976-02-06,
411,1976-02-13,
412,1976-02-20,
413,1976-02-27,
414,1976-03-05,
415,1976-03-12,
416,1976-03-19,
417,1976-04-30,
418,1976-05-07,
419,1976-05-14,
420,1976-05-21,
421,1976-05-28,
422,1976-06-04,
423,1976-06-11,
424,1976-06-18,
425,1976-06-25,
426,1976-07-30,
427,1976-09-17,
428,1976-10-04,
430,1976-10-15,
431,1976-10-21,
432,1976-10-29,
433,1976-11-05,
434,1976-11-12,
435,1976-11-19,
436,1976-11-26,
437,1976-12-03,
438,1976-12-10,
439,1976-12-16,
504,1979-01-12,
505,1979-01-19,
506,1979-01-26,
507,1979-02-02,
508,1979-02-09,
509,1979-02-16,
510,1979-02-23,
511,1979-03-02,
512,1979-03-09,
513,1979-03-16,
514,1979-03-23,
515,1979-04-27,
516,1979-05-04,
517,1979-05-11,
518,1979-05-18,
519,1979-05-25,
520,1979-06-01,
521,1979-06-08,
522,1979-06-15,
523,1979-06-22,
524,1979-07-14,
525,1979-08-15,
